Data dictionary / พจนานุกรมข้อมูล,,,
DDS EnvOcc Sharing,,,
This file is checked in at docs/data-dictionary.csv and shipped unchanged in every Extract archive (spec section 8.2 rule 8). It is identical for every Request.,,,
ไฟล์นี้เก็บไว้ที่ docs/data-dictionary.csv และแนบไปกับทุกไฟล์ archive ของ Extract โดยไม่มีการแก้ไข (spec section 8.2 rule 8) มีเนื้อหาเดียวกันทุกคำขอ,,,
,,,
Notes / หมายเหตุ,,,
"The Extract CSV is UTF-8 with a byte-order mark (BOM). In pandas, read it with encoding=""utf-8-sig"" - without it, the first column name will read as an unexpected value with the BOM attached to it, e.g. epidem_report_guid becomes a different string than expected.",,,
"ไฟล์ Extract เป็น UTF-8 ที่มี byte-order mark (BOM) นำหน้า หากเปิดด้วย pandas ต้องระบุ encoding=""utf-8-sig"" มิฉะนั้นชื่อคอลัมน์แรก (epidem_report_guid) จะติด BOM มาด้วยและอ่านค่าไม่ตรงกับที่คาดไว้",,,
"Row order is fetch order: Report code ascending, then upstream's own order within a code.",,,
"ลำดับแถวเรียงตามลำดับที่ดึงข้อมูล คือเรียงตามรหัสรายงานโรคจากน้อยไปมาก แล้วเรียงตามลำดับเดิมของต้นทางภายในรหัสเดียวกัน",,,
An empty cell means the source had no value for that field - never a zero and never a placeholder.,,,
เซลล์ว่างหมายถึงต้นทางไม่มีค่าสำหรับฟิลด์นั้น ไม่ใช่ค่าศูนย์และไม่ใช่ค่าตัวแทนใด ๆ,,,
,,,
Columns / คอลัมน์,,,
column,name_th,description_en,description_th
epidem_report_guid,รหัสอ้างอิงรายงานผู้ป่วย,Unique identifier for this case's report record as issued upstream.,รหัสอ้างอิงเฉพาะของรายงานผู้ป่วยรายนี้ตามที่ต้นทางออกให้
epidem_report_group_code,รหัสรายงานโรค,"The upstream Report code this row was fetched under (201-224, 501).",รหัสรายงานโรคของแถวนี้ตามที่ใช้ในการดึงข้อมูล (201-224, 501)
diagnosis_icd10,รหัสวินิจฉัยหลัก ICD-10,Primary ICD-10 diagnosis code. Upper-cased by the writer - upstream carries both cases for the same code.,รหัสวินิจฉัยโรคหลักตามมาตรฐาน ICD-10 ปรับเป็นตัวพิมพ์ใหญ่เสมอ เนื่องจากต้นทางมีทั้งตัวพิมพ์ใหญ่และเล็กสำหรับรหัสเดียวกัน
diagnosis_icd10_list,รายการรหัส ICD-10 ทั้งหมด,"All ICD-10 codes recorded for the case, comma-separated and upper-cased; this cell is quoted because it contains a comma.",รายการรหัส ICD-10 ทั้งหมดของผู้ป่วย คั่นด้วยจุลภาคและปรับเป็นตัวพิมพ์ใหญ่ เซลล์นี้จะถูกครอบด้วยเครื่องหมายคำพูดเนื่องจากมีจุลภาคอยู่ภายใน
birth_date,วันเกิด,Case's date of birth.,วันเดือนปีเกิดของผู้ป่วย
gender,เพศ,Case's gender as coded upstream.,เพศของผู้ป่วยตามรหัสของต้นทาง
prefix,คำนำหน้าชื่อ,Case's honorific title as coded upstream.,คำนำหน้าชื่อของผู้ป่วยตามรหัสของต้นทาง
nationality,สัญชาติ,Case's nationality as coded upstream.,สัญชาติของผู้ป่วยตามรหัสของต้นทาง
occupation,อาชีพ,Case's occupation as coded upstream.,อาชีพของผู้ป่วยตามรหัสของต้นทาง
marital_status_id,รหัสสถานภาพสมรส,Case's marital status code.,รหัสสถานภาพสมรสของผู้ป่วย
chw_code,รหัสจังหวัดที่รักษา,Province code of the treating unit.,รหัสจังหวัดของหน่วยงานที่ให้การรักษา
amp_code,รหัสอำเภอที่รักษา,District code of the treating unit.,รหัสอำเภอของหน่วยงานที่ให้การรักษา
epidem_chw_code,รหัสจังหวัดที่สอบสวนโรค,Province code of the investigating (epidemiology) unit - the address used for the Area selection filter and to compute epidem_health_zone.,รหัสจังหวัดของหน่วยสอบสวนโรค ใช้เป็นเงื่อนไขกรองพื้นที่และใช้คำนวณ epidem_health_zone
epidem_health_zone,เขตสุขภาพ (คำนวณ),"Derived column, computed by this service from epidem_chw_code (health region 1-13) - not received from upstream. Differs from upstream's own health_zone, which follows the treating unit instead.",คอลัมน์คำนวณโดยระบบนี้จาก epidem_chw_code (เขตสุขภาพ 1-13) ไม่ใช่ค่าจากต้นทาง และแตกต่างจาก health_zone ของต้นทางซึ่งอ้างอิงหน่วยงานที่รักษาแทน
epidem_amp_code,รหัสอำเภอที่สอบสวนโรค,District code of the investigating unit.,รหัสอำเภอของหน่วยสอบสวนโรค
hospital_code,รหัสสถานพยาบาล,Code of the hospital that reported the case.,รหัสสถานพยาบาลที่รายงานผู้ป่วยรายนี้
onset_date,วันที่เริ่มป่วย,Date the case's illness began.,วันที่ผู้ป่วยเริ่มมีอาการป่วย
onset_age,อายุ ณ วันเริ่มป่วย (คำนวณ),"Derived column, computed by this service: the case's age in completed years at onset_date. Empty when it cannot be computed honestly - never zero and never a sentinel.",คอลัมน์คำนวณโดยระบบนี้ คืออายุเต็มปีของผู้ป่วย ณ วันที่เริ่มป่วย เว้นว่างเมื่อไม่สามารถคำนวณได้อย่างถูกต้อง ไม่ใช้ค่าศูนย์หรือค่าตัวแทนใด ๆ
treated_date,วันที่เข้ารับการรักษา,Date the case was treated.,วันที่ผู้ป่วยเข้ารับการรักษา
diagnosis_date,วันที่วินิจฉัยโรค,Date the case was diagnosed.,วันที่วินิจฉัยโรคของผู้ป่วย
death_date,วันที่เสียชีวิต,Date of death - present only where the case died.,วันที่เสียชีวิต มีค่าเฉพาะกรณีที่ผู้ป่วยเสียชีวิต
report_datetime,วันเวลาที่รายงาน,Date and time the case was reported into the surveillance system.,วันและเวลาที่มีการรายงานผู้ป่วยเข้าสู่ระบบเฝ้าระวังโรค
update_datetime,วันเวลาที่ปรับปรุงล่าสุด,Date and time the case's record was last updated upstream.,วันและเวลาที่มีการปรับปรุงข้อมูลผู้ป่วยล่าสุดจากต้นทาง
,,,
Disease group classification / การจัดกลุ่มโรค,,,
"This classification is ours, not upstream's (spec section 4.9) - it is published here so a Requester who asked for a Disease group can read which Report codes we took that to mean, without asking us. Authoritative source: docs/disease-groups.md.",,,
"การจัดกลุ่มนี้เป็นการจัดของหน่วยงานเอง ไม่ใช่ของต้นทาง (spec section 4.9) เผยแพร่ไว้ที่นี่เพื่อให้ผู้ขอข้อมูลที่เลือกกลุ่มโรคสามารถตรวจสอบได้ว่ากลุ่มนั้นครอบคลุมรหัสรายงานโรคใดบ้างโดยไม่ต้องสอบถามหน่วยงาน แหล่งข้อมูลหลัก: docs/disease-groups.md",,,
disease_group_id,name_th,report_codes,
air-pollution,โรคจากการสัมผัสมลพิษทางอากาศ,201,
silicosis,โรคซิลิโคสิส,202;203,
asbestos,โรคจากแร่ใยหิน,204;205;206;207,
lead,โรคจากตะกั่วและสารประกอบของตะกั่ว,208,
pesticides,โรคจากสารกำจัดศัตรูพืช,209;210;211;212;213;214;215;216;217;218,
confined-space,การบาดเจ็บจากภาวะอับอากาศ,219,
radiation,โรคจากรังสี,222;223;224,
work-related,โรคจากการทำงาน,220,
environmental-pollution,โรคที่เกี่ยวข้องกับการสัมผัสมลพิษในสิ่งแวดล้อม,221,
heat,โรคจากความร้อน,501,
